Name, Elo
TOR, 1805
GSW, 1863
MIL, 1801
POR, 1662
HOU, 1773
PHI, 1727
BOS, 1675
DEN, 1669
UTA, 1708
OKC, 1700
SAS, 1571
IND, 1621
DET, 1528
ORL, 1513
LAC, 1507
BKN, 1457
CHA, 1517
MIA, 1482
MIN, 1547
SAC, 1445
NOP, 1588
WSH, 1505
DAL, 1477
LAL, 1555
ATL, 1356
CHI, 1408
NYK, 1241
CLE, 1297
MEM, 1497
PHX, 1361
