Date,H_Team,H_MP,H_FG,H_FGA,H_FG%,H_3P,H_3PA,H_3P%,H_FT,H_FTA,H_FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_PTS,H_+/-,A_Team,A_MP,A_FG,A_FGA,A_FG%,A_3P,A_3PA,A_3P%,A_FT,A_FTA,A_FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_PTS,A_+/-
"April 23, 2021",ATL,240,43,80,.538,15,35,.429,17,19,.895,8,30,38,24,12,2,14,17,118,,MIA,240,38,79,.481,13,37,.351,14,16,.875,6,24,30,24,10,5,13,18,103,
"April 22, 2021",DAL,240,40,82,.488,9,24,.375,26,36,.722,9,29,38,23,11,5,12,15,115,,LAL,240,43,90,.478,10,30,.333,14,17,.824,12,33,45,26,7,5,16,28,110,
"April 22, 2021",CHI,240,43,87,.494,14,43,.326,8,11,.727,11,39,50,30,8,2,17,14,108,,CHO,240,35,82,.427,8,31,.258,13,17,.765,7,31,38,30,5,3,14,18,91,
"April 22, 2021",SAS,240,37,80,.463,11,24,.458,21,27,.778,11,32,43,28,12,7,10,19,106,,DET,240,35,77,.455,8,22,.364,13,22,.591,9,34,43,15,2,5,17,22,91,
"April 22, 2021",ORL,240,36,98,.367,13,36,.361,15,19,.789,13,27,40,13,6,6,4,18,100,,NOP,240,50,90,.556,12,28,.429,23,26,.885,12,46,58,34,2,3,14,16,135,
"April 22, 2021",MIL,240,45,81,.556,20,40,.500,14,23,.609,6,39,45,32,6,8,16,16,124,,PHI,240,46,91,.505,12,27,.444,13,18,.722,7,26,33,27,7,3,8,17,117,
"April 22, 2021",BOS,240,33,77,.429,12,40,.300,21,24,.875,10,38,48,20,7,2,20,12,99,,PHO,240,36,88,.409,6,35,.171,8,9,.889,10,28,38,18,10,2,17,23,86,
"April 21, 2021",SAC,240,43,74,.581,17,33,.515,25,31,.806,4,29,33,29,7,5,14,20,128,,MIN,240,46,87,.529,15,34,.441,18,22,.818,9,25,34,30,7,4,10,21,125,
"April 21, 2021",POR,240,40,87,.460,12,36,.333,13,15,.867,9,32,41,21,7,2,11,16,105,,DEN,240,39,88,.443,13,39,.333,15,17,.882,16,30,46,24,7,5,13,16,106,
"April 21, 2021",LAC,240,38,84,.452,14,27,.519,27,36,.750,10,33,43,28,4,5,12,17,117,,MEM,240,38,84,.452,13,30,.433,16,23,.696,11,31,42,19,6,8,13,29,105,
"April 21, 2021",SAS,240,31,77,.403,10,35,.286,15,20,.750,7,31,38,21,1,7,10,15,87,,MIA,240,39,83,.470,13,31,.419,16,20,.800,9,35,44,28,8,1,7,20,107,
"April 21, 2021",DAL,240,46,92,.500,16,43,.372,19,26,.731,11,32,43,25,8,2,6,22,127,,DET,240,40,79,.506,13,32,.406,24,31,.774,7,35,42,30,2,2,13,24,117,
