Date,H_Team,H_MP,H_FG,H_FGA,H_FG%,H_3P,H_3PA,H_3P%,H_FT,H_FTA,H_FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_PTS,H_+/-,A_Team,A_MP,A_FG,A_FGA,A_FG%,A_3P,A_3PA,A_3P%,A_FT,A_FTA,A_FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_PTS,A_+/-
"March 1, 2021",SAS,265,44,97,.454,15,35,.429,10,15,.667,9,39,48,30,2,3,9,16,113,,BRK,265,47,100,.470,17,41,.415,13,17,.765,13,38,51,35,6,8,5,13,124,
"March 1, 2021",NOP,240,52,92,.565,7,11,.636,18,23,.783,10,43,53,27,5,5,13,15,129,,UTA,240,46,101,.455,17,43,.395,15,18,.833,11,28,39,26,11,7,8,22,124,
"March 1, 2021",CHI,240,42,94,.447,12,38,.316,16,22,.727,14,30,44,25,7,3,10,18,112,,DEN,240,46,87,.529,10,27,.370,16,20,.800,9,41,50,22,4,6,12,18,118,
"March 1, 2021",PHI,240,50,88,.568,15,35,.429,15,16,.938,6,33,39,27,10,6,19,19,130,,IND,240,44,91,.484,8,29,.276,18,21,.857,8,26,34,27,8,1,19,19,114,
"March 1, 2021",ORL,240,47,95,.495,20,41,.488,10,14,.714,6,35,41,25,5,1,8,17,124,,DAL,240,47,90,.522,17,46,.370,19,23,.826,7,39,46,29,6,6,8,12,130,
"February 28, 2021",SAC,240,50,92,.543,16,36,.444,10,17,.588,9,24,33,32,6,2,10,19,126,,CHO,240,45,83,.542,11,30,.367,26,27,.963,7,30,37,30,3,6,16,20,127,
"February 28, 2021",MIN,240,35,93,.376,8,35,.229,21,24,.875,10,34,44,21,12,4,15,22,99,,PHO,240,44,89,.494,7,27,.259,23,24,.958,8,39,47,27,7,5,16,18,118,
"February 28, 2021",MIA,240,39,86,.453,11,37,.297,20,22,.909,12,33,45,27,8,6,14,20,109,,ATL,240,36,87,.414,8,35,.229,19,22,.864,16,33,49,22,12,6,16,20,99,
"February 28, 2021",LAL,240,40,85,.471,11,31,.355,26,38,.684,14,46,60,22,14,6,19,21,117,,GSW,240,35,86,.407,8,34,.235,13,19,.684,3,32,35,26,10,4,20,25,91,
"February 28, 2021",HOU,240,23,83,.277,4,45,.089,34,41,.829,12,26,38,10,7,6,23,24,84,,MEM,240,50,94,.532,10,30,.333,23,28,.821,11,45,56,27,16,3,18,31,133,
"February 28, 2021",DET,240,28,72,.389,9,32,.281,25,31,.806,7,33,40,16,8,4,15,15,90,,NYK,240,44,86,.512,13,26,.500,8,10,.800,6,35,41,23,9,7,11,23,109,
"February 28, 2021",BOS,240,42,89,.472,10,30,.333,17,24,.708,13,36,49,25,7,0,18,25,111,,WAS,240,38,84,.452,9,32,.281,25,29,.862,7,29,36,16,10,5,14,22,110,
"February 28, 2021",MIL,240,38,85,.447,12,38,.316,17,22,.773,8,40,48,21,7,5,11,11,105,,LAC,240,40,97,.412,14,44,.318,6,7,.857,13,36,49,20,7,3,8,19,100,
"February 27, 2021",BRK,240,35,86,.407,14,44,.318,14,19,.737,14,33,47,21,5,4,19,16,98,,DAL,240,45,86,.523,14,36,.389,11,17,.647,6,30,36,23,12,8,8,15,115,
"February 27, 2021",SAS,240,41,86,.477,12,32,.375,23,28,.821,8,30,38,24,7,5,8,26,117,,NOP,240,40,91,.440,9,32,.281,25,31,.806,17,35,52,27,3,2,10,17,114,
"February 27, 2021",ORL,240,44,96,.458,14,34,.412,7,8,.875,7,30,37,27,6,3,3,18,109,,UTA,240,45,85,.529,17,45,.378,17,24,.708,10,42,52,29,2,3,12,14,124,
"February 27, 2021",OKC,240,37,88,.420,11,47,.234,11,15,.733,7,30,37,24,7,6,14,16,96,,DEN,240,49,89,.551,15,31,.484,13,16,.813,6,43,49,30,6,3,12,16,126,
"February 27, 2021",NYK,240,40,81,.494,12,24,.500,18,22,.818,4,34,38,26,12,2,18,22,110,,IND,240,38,84,.452,11,28,.393,20,25,.800,6,29,35,27,5,7,16,17,107,
"February 27, 2021",WAS,240,44,98,.449,13,33,.394,27,34,.794,15,42,57,27,6,6,16,24,128,,MIN,240,41,95,.432,11,35,.314,19,29,.655,12,38,50,23,9,10,18,29,112,
"February 27, 2021",PHI,265,38,83,.458,10,28,.357,23,35,.657,8,38,46,25,9,10,19,26,109,,CLE,265,41,97,.423,8,24,.333,22,29,.759,13,39,52,24,12,3,16,26,112,
"February 26, 2021",LAL,240,37,88,.420,7,27,.259,21,28,.750,15,37,52,25,9,7,9,23,102,,POR,240,32,83,.386,11,37,.297,18,20,.900,10,35,45,19,5,5,15,21,93,
"February 26, 2021",GSW,240,48,79,.608,11,24,.458,23,25,.920,4,33,37,38,10,3,23,19,130,,CHO,240,41,89,.461,17,41,.415,22,32,.688,13,25,38,27,11,1,20,23,121,
"February 26, 2021",OKC,240,46,88,.523,16,42,.381,10,16,.625,5,34,39,31,6,2,10,17,118,,ATL,240,43,97,.443,12,40,.300,11,17,.647,19,35,54,21,6,5,10,13,109,
"February 26, 2021",MIA,240,44,86,.512,14,31,.452,22,25,.880,11,39,50,24,5,1,15,21,124,,UTA,240,40,94,.426,15,46,.326,21,23,.913,9,27,36,24,9,3,9,21,116,
"February 26, 2021",MEM,240,39,97,.402,9,28,.321,12,16,.750,8,29,37,24,10,4,9,14,99,,LAC,240,44,80,.550,14,35,.400,17,18,.944,4,43,47,34,6,8,17,19,119,
"February 26, 2021",DET,240,37,82,.451,12,33,.364,21,32,.656,10,35,45,20,6,6,11,25,107,,SAC,240,37,89,.416,7,32,.219,29,41,.707,14,35,49,24,5,6,10,25,110,
"February 26, 2021",CHI,240,39,78,.500,12,31,.387,7,10,.700,6,35,41,25,2,4,17,16,97,,PHO,240,44,88,.500,6,22,.273,12,15,.800,3,27,30,35,11,4,7,11,106,
"February 26, 2021",TOR,240,40,89,.449,16,41,.390,26,27,.963,11,37,48,29,6,8,12,20,122,,HOU,240,39,91,.429,16,47,.340,17,20,.850,7,30,37,23,4,5,11,24,111,
"February 26, 2021",BOS,240,42,82,.512,9,22,.409,25,29,.862,7,38,45,24,3,6,11,20,118,,IND,240,35,89,.393,15,46,.326,27,29,.931,8,32,40,26,8,6,8,22,112,
"February 25, 2021",MIL,240,52,96,.542,13,31,.419,12,16,.750,8,34,42,21,4,8,9,13,129,,NOP,240,51,102,.500,13,39,.333,10,14,.714,12,35,47,32,5,4,9,17,125,
"February 25, 2021",DEN,240,37,85,.435,15,38,.395,21,24,.875,12,32,44,23,6,7,18,20,110,,WAS,240,41,86,.477,8,26,.308,22,25,.880,10,32,42,24,9,2,11,20,112,
"February 25, 2021",MEM,240,50,92,.543,11,19,.579,11,16,.688,7,41,48,27,7,1,6,17,122,,LAC,240,34,84,.405,12,34,.353,14,16,.875,8,33,41,19,4,4,14,15,94,
"February 25, 2021",NYK,240,51,87,.586,19,36,.528,19,21,.905,9,34,43,24,8,2,16,23,140,,SAC,240,42,85,.494,12,35,.343,25,33,.758,8,26,34,25,12,0,16,22,121,
"February 25, 2021",BRK,240,49,92,.533,20,45,.444,11,14,.786,7,44,51,30,11,2,13,18,129,,ORL,240,35,87,.402,9,36,.250,13,15,.867,4,31,35,19,8,1,18,10,92,
"February 25, 2021",PHI,240,39,90,.433,12,29,.414,21,25,.840,8,31,39,26,11,6,7,19,111,,DAL,240,32,78,.410,13,34,.382,20,23,.870,10,40,50,17,2,9,18,21,97,
"February 24, 2021",UTA,240,41,87,.471,22,48,.458,10,15,.667,14,39,53,28,7,1,12,16,114,,LAL,240,34,85,.400,8,33,.242,13,20,.650,12,33,45,17,5,4,14,15,89,
"February 24, 2021",PHO,240,44,87,.506,14,38,.368,19,27,.704,7,34,41,26,9,6,14,25,121,,CHO,240,43,88,.489,13,36,.361,25,27,.926,9,37,46,24,8,5,13,21,124,
"February 24, 2021",OKC,240,37,89,.416,18,44,.409,10,11,.909,10,42,52,21,6,4,17,14,102,,SAS,240,40,86,.465,9,25,.360,10,15,.667,6,38,44,20,10,4,12,13,99,
"February 24, 2021",NOP,240,50,90,.556,10,23,.435,18,29,.621,12,33,45,31,10,6,12,10,128,,DET,240,47,89,.528,13,36,.361,11,16,.688,9,29,38,31,8,6,13,23,118,
"February 24, 2021",MIA,240,37,80,.463,17,38,.447,25,29,.862,11,31,42,31,6,4,11,21,116,,TOR,240,37,74,.500,20,44,.455,14,17,.824,3,29,32,30,5,3,14,25,108,
"February 24, 2021",CHI,265,55,93,.591,10,25,.400,13,16,.813,7,36,43,28,11,5,21,15,133,,MIN,265,47,104,.452,12,38,.316,20,21,.952,13,28,41,28,11,4,17,24,126,
"February 24, 2021",IND,240,37,81,.457,7,29,.241,26,32,.813,7,32,39,20,11,6,19,22,107,,GSW,240,39,83,.470,5,26,.192,28,31,.903,8,33,41,27,10,4,18,25,111,
"February 24, 2021",CLE,240,43,85,.506,16,36,.444,10,15,.667,11,44,55,24,4,10,16,20,112,,HOU,240,36,90,.400,10,33,.303,14,17,.824,9,24,33,18,8,8,7,15,96,
"February 24, 2021",ATL,240,45,85,.529,23,42,.548,14,17,.824,12,33,45,27,4,5,17,23,127,,BOS,240,42,95,.442,8,31,.258,20,23,.870,12,24,36,20,10,6,6,16,112,
"February 23, 2021",LAC,240,54,94,.574,19,38,.500,8,13,.615,7,39,46,26,7,5,10,22,135,,WAS,240,47,88,.534,11,20,.550,11,16,.688,6,30,36,32,5,1,13,16,116,
"February 23, 2021",DEN,240,40,94,.426,14,36,.389,17,18,.944,10,30,40,25,8,3,1,10,111,,POR,240,41,87,.471,14,41,.341,10,10,1.000,7,40,47,21,0,7,9,19,106,
"February 23, 2021",MIL,240,53,99,.535,20,42,.476,13,18,.722,9,43,52,33,11,5,8,13,139,,MIN,240,42,98,.429,19,54,.352,9,9,1.000,7,36,43,35,4,5,14,16,112,
"February 23, 2021",TOR,240,40,93,.430,11,37,.297,11,13,.846,8,30,38,29,12,11,10,20,102,,PHI,240,33,80,.413,17,38,.447,26,30,.867,12,42,54,24,5,8,18,15,109,
"February 23, 2021",NYK,240,38,97,.392,11,29,.379,19,22,.864,18,38,56,22,4,5,13,23,106,,GSW,240,40,89,.449,13,38,.342,21,24,.875,7,34,41,30,9,8,10,18,114,
"February 23, 2021",DAL,240,42,89,.472,13,33,.394,13,15,.867,8,30,38,19,5,1,9,17,110,,BOS,240,41,86,.477,12,39,.308,13,18,.722,12,34,46,19,6,6,13,21,107,
"February 23, 2021",BRK,240,44,89,.494,17,40,.425,22,31,.710,10,31,41,30,8,5,8,16,127,,SAC,240,45,87,.517,15,31,.484,13,19,.684,5,33,38,25,6,7,15,17,118,
"February 23, 2021",ORL,240,33,88,.375,14,38,.368,13,22,.591,10,38,48,25,9,6,12,16,93,,DET,240,41,88,.466,10,34,.294,13,16,.813,8,41,49,24,10,9,15,19,105,
"February 23, 2021",CLE,240,41,78,.526,15,28,.536,15,19,.789,7,29,36,28,7,10,15,19,112,,ATL,240,40,89,.449,14,31,.452,17,23,.739,13,28,41,22,10,4,11,19,111,
"February 22, 2021",LAL,265,49,104,.471,15,44,.341,11,17,.647,12,33,45,29,9,11,20,29,124,,WAS,265,47,96,.490,9,25,.360,24,33,.727,5,44,49,25,9,4,16,25,127,
"February 22, 2021",UTA,240,45,85,.529,28,55,.509,14,17,.824,8,37,45,34,7,7,22,19,132,,CHO,240,41,89,.461,11,36,.306,17,21,.810,8,27,35,18,13,2,16,17,110,
"February 22, 2021",PHO,240,50,99,.505,16,33,.485,16,18,.889,13,30,43,29,6,5,7,13,132,,POR,240,37,84,.440,12,39,.308,14,19,.737,13,33,46,15,6,6,16,17,100,
"February 22, 2021",OKC,240,32,74,.432,14,39,.359,16,19,.842,5,33,38,20,6,1,17,24,94,,MIA,240,36,81,.444,15,40,.375,21,25,.840,10,35,45,30,7,6,13,20,108,
"February 22, 2021",DAL,240,35,80,.438,15,41,.366,17,26,.654,5,44,49,17,6,4,16,18,102,,MEM,240,37,94,.394,6,31,.194,12,19,.632,13,38,51,17,7,1,13,23,92,
"February 22, 2021",HOU,240,37,96,.385,13,40,.325,13,19,.684,11,35,46,20,7,4,9,16,100,,CHI,240,49,91,.538,15,36,.417,7,10,.700,8,47,55,24,5,5,11,17,120,
"February 21, 2021",MIL,240,44,90,.489,11,28,.393,29,36,.806,14,42,56,22,8,5,17,19,128,,SAC,240,44,100,.440,12,33,.364,15,20,.750,14,29,43,29,6,3,12,26,115,
"February 21, 2021",LAC,240,40,87,.460,15,35,.429,13,18,.722,16,36,52,24,3,4,16,17,108,,BRK,240,44,92,.478,11,38,.289,13,19,.684,9,31,40,21,10,4,6,19,112,
"February 21, 2021",ATL,240,42,81,.519,12,34,.353,27,33,.818,10,34,44,29,6,4,11,20,123,,DEN,240,43,84,.512,16,36,.444,13,16,.813,3,30,33,25,8,3,13,24,115,
"February 21, 2021",TOR,240,40,81,.494,14,34,.412,16,18,.889,5,34,39,25,5,5,14,24,110,,PHI,240,33,85,.388,11,37,.297,26,35,.743,11,34,45,26,8,7,10,21,103,
"February 21, 2021",ORL,240,35,81,.432,9,30,.300,26,29,.897,5,46,51,24,7,8,11,18,105,,DET,240,34,91,.374,11,40,.275,17,21,.810,9,40,49,23,10,4,11,21,96,
"February 21, 2021",NYK,240,33,78,.423,6,18,.333,31,38,.816,11,37,48,17,4,4,13,25,103,,MIN,240,33,82,.402,16,35,.457,17,21,.810,7,36,43,24,6,3,15,24,99,
"February 21, 2021",CLE,240,39,84,.464,8,35,.229,15,20,.750,14,28,42,22,9,4,15,17,101,,OKC,240,43,79,.544,13,28,.464,18,24,.750,5,32,37,22,9,3,14,18,117,
"February 21, 2021",NOP,265,42,94,.447,11,36,.306,25,37,.676,12,40,52,22,5,7,13,24,120,,BOS,265,39,98,.398,10,37,.270,27,34,.794,11,38,49,22,9,11,10,30,115,
"February 20, 2021",POR,240,37,103,.359,19,55,.345,18,25,.720,17,33,50,19,10,7,12,22,111,,WAS,240,45,89,.506,6,26,.231,22,29,.759,12,42,54,23,8,3,17,19,118,
"February 20, 2021",MEM,240,36,93,.387,5,33,.152,20,23,.870,17,32,49,19,5,4,12,12,97,,PHO,240,46,86,.535,24,46,.522,12,13,.923,5,36,41,35,5,7,10,14,128,
"February 20, 2021",CHI,240,49,82,.598,11,23,.478,13,15,.867,2,36,38,24,5,8,14,23,122,,SAC,240,44,98,.449,8,29,.276,18,22,.818,12,29,41,22,8,3,7,18,114,
"February 20, 2021",LAL,240,33,84,.393,13,45,.289,15,17,.882,6,37,43,25,5,6,14,17,94,,MIA,240,36,85,.424,8,28,.286,16,23,.696,10,39,49,24,8,3,14,20,96,
"February 20, 2021",CHO,240,37,75,.493,20,40,.500,8,9,.889,4,40,44,23,7,2,24,22,102,,GSW,240,37,85,.435,13,39,.333,13,17,.765,9,30,39,23,10,3,14,12,100,
"February 19, 2021",LAC,240,43,89,.483,10,30,.333,20,22,.909,11,34,45,22,5,4,11,20,116,,UTA,240,41,86,.477,12,34,.353,18,21,.857,6,32,38,13,7,6,10,22,112,
"February 19, 2021",MIN,240,32,83,.386,9,38,.237,8,11,.727,6,37,43,24,6,9,13,23,81,,TOR,240,28,85,.329,12,40,.300,18,22,.818,15,36,51,16,8,6,15,16,86,
"February 19, 2021",NOP,240,42,82,.512,11,32,.344,19,24,.792,6,31,37,28,11,3,13,16,114,,PHO,240,51,88,.580,22,39,.564,8,12,.667,4,33,37,38,8,4,13,17,132,
"February 19, 2021",MIL,240,35,86,.407,11,34,.324,17,25,.680,11,50,61,23,5,6,12,18,98,,OKC,240,31,85,.365,12,40,.300,11,21,.524,8,38,46,20,4,5,10,23,85,
"February 19, 2021",MEM,240,42,90,.467,5,20,.250,20,23,.870,13,36,49,20,12,4,11,13,109,,DET,240,36,86,.419,14,45,.311,9,13,.692,13,32,45,27,8,7,21,22,95,
"February 19, 2021",PHI,240,41,87,.471,7,21,.333,23,29,.793,16,37,53,23,5,7,15,18,112,,CHI,240,40,95,.421,7,32,.219,18,18,1.000,13,29,42,24,5,6,11,20,105,
"February 19, 2021",BOS,240,50,90,.556,14,35,.400,7,10,.700,9,35,44,26,8,12,18,21,121,,ATL,240,38,90,.422,10,30,.333,23,25,.920,13,28,41,21,14,6,13,14,109,
"February 19, 2021",ORL,240,46,94,.489,18,43,.419,14,17,.824,8,43,51,30,7,8,13,19,124,,GSW,240,46,97,.474,19,42,.452,9,15,.600,9,36,45,37,8,0,13,19,120,
"February 19, 2021",CLE,240,39,83,.470,12,31,.387,13,21,.619,13,21,34,30,8,4,18,15,103,,DEN,240,46,80,.575,15,31,.484,13,17,.765,6,31,37,24,9,2,15,17,120,
"February 18, 2021",SAC,240,43,93,.462,15,41,.366,9,16,.563,13,31,44,29,7,3,15,18,110,,MIA,240,49,95,.516,12,34,.353,8,10,.800,8,37,45,36,8,2,14,15,118,
"February 18, 2021",LAL,240,40,83,.482,8,30,.267,10,14,.714,10,29,39,21,7,4,16,16,98,,BRK,240,38,77,.494,18,39,.462,15,24,.625,8,31,39,23,9,3,13,18,109,
"February 18, 2021",MIL,240,35,88,.398,10,34,.294,16,23,.696,15,37,52,23,6,2,15,23,96,,TOR,240,38,78,.487,12,35,.343,22,23,.957,2,35,37,26,6,6,9,21,110,
"February 17, 2021",LAC,240,38,86,.442,9,26,.346,11,17,.647,9,38,47,18,5,2,16,19,96,,UTA,240,42,98,.429,13,40,.325,17,20,.850,17,36,53,19,12,3,13,15,114,
"February 17, 2021",GSW,265,43,95,.453,18,52,.346,16,21,.762,9,37,46,32,10,1,16,19,120,,MIA,265,44,97,.454,13,36,.361,11,12,.917,7,42,49,28,8,5,15,22,112,
"February 17, 2021",NOP,240,43,89,.483,15,32,.469,23,29,.793,18,33,51,25,5,1,11,15,124,,POR,240,46,90,.511,18,41,.439,16,18,.889,7,24,31,26,6,7,9,19,126,
"February 17, 2021",MEM,240,42,83,.506,12,26,.462,26,33,.788,7,37,44,31,14,4,12,18,122,,OKC,240,35,78,.449,19,41,.463,24,28,.857,6,33,39,25,5,3,18,25,113,
"February 17, 2021",WAS,240,44,86,.512,15,33,.455,27,34,.794,9,36,45,31,7,3,13,20,130,,DEN,240,48,92,.522,17,38,.447,15,18,.833,10,32,42,23,7,7,11,26,128,
"February 17, 2021",MIN,265,45,107,.421,15,40,.375,23,25,.920,11,33,44,37,12,8,11,20,128,,IND,265,49,97,.505,13,26,.500,23,27,.852,10,41,51,31,5,7,14,18,134,
"February 17, 2021",CHI,240,41,85,.482,8,28,.286,15,24,.625,8,38,46,29,8,7,13,20,105,,DET,240,37,82,.451,8,28,.286,20,24,.833,6,34,40,15,9,2,13,21,102,
"February 17, 2021",PHI,240,39,81,.481,12,26,.462,28,32,.875,7,40,47,23,12,6,20,21,118,,HOU,240,42,92,.457,15,47,.319,14,18,.778,9,30,39,26,13,6,18,24,113,
"February 17, 2021",BOS,240,40,86,.465,10,31,.323,24,27,.889,11,26,37,22,9,3,16,27,114,,ATL,240,44,77,.571,8,24,.333,26,31,.839,8,29,37,19,8,2,14,18,122,
"February 17, 2021",ORL,240,42,92,.457,16,34,.471,7,10,.700,10,40,50,27,10,7,12,15,107,,NYK,240,33,87,.379,7,27,.259,16,19,.842,10,36,46,16,7,5,16,14,89,
"February 16, 2021",PHO,240,48,88,.545,16,37,.432,12,12,1.000,4,30,34,28,7,3,6,15,124,,BRK,240,47,82,.573,20,40,.500,14,15,.933,4,33,37,28,4,4,10,11,128,
"February 16, 2021",OKC,240,37,85,.435,10,33,.303,20,27,.741,7,39,46,23,6,3,11,16,104,,POR,240,42,96,.438,20,47,.426,11,17,.647,15,39,54,26,6,8,10,23,115,
"February 16, 2021",MIN,240,39,93,.419,16,34,.471,10,13,.769,11,27,38,26,11,4,15,27,104,,LAL,240,42,77,.545,11,26,.423,17,21,.810,6,32,38,20,8,8,18,14,112,
"February 16, 2021",MIL,240,40,83,.482,14,37,.378,19,25,.760,5,36,41,25,10,5,17,17,113,,TOR,240,46,91,.505,17,43,.395,15,21,.714,8,36,44,25,8,6,15,18,124,
"February 16, 2021",MEM,240,42,88,.477,13,31,.419,16,18,.889,9,23,32,23,10,0,19,18,113,,NOP,240,56,91,.615,19,38,.500,13,17,.765,11,36,47,33,14,4,19,19,144,
"February 16, 2021",BOS,240,39,81,.481,15,42,.357,19,21,.905,10,33,43,26,7,1,20,22,112,,DEN,240,38,84,.452,9,34,.265,14,15,.933,11,27,38,25,12,3,17,18,99,
"February 15, 2021",SAC,240,51,96,.531,12,33,.364,11,13,.846,15,26,41,24,6,6,13,13,125,,BRK,240,51,89,.573,27,47,.574,7,12,.583,9,26,35,31,7,4,15,16,136,
"February 15, 2021",LAC,240,47,85,.553,15,32,.469,16,20,.800,7,32,39,31,5,0,12,22,125,,MIA,240,46,91,.505,8,36,.222,18,22,.818,9,30,39,27,7,6,8,21,118,
"February 15, 2021",GSW,240,46,88,.523,17,37,.459,20,21,.952,5,34,39,34,9,10,14,23,129,,CLE,240,37,95,.389,8,30,.267,16,20,.800,15,34,49,19,10,3,17,24,98,
"February 15, 2021",UTA,240,45,86,.523,18,45,.400,26,31,.839,7,29,36,18,9,4,11,18,134,,PHI,240,47,94,.500,8,23,.348,21,24,.875,12,30,42,19,6,4,12,21,123,
"February 15, 2021",NYK,240,42,83,.506,17,34,.500,22,27,.815,10,32,42,22,5,6,8,22,123,,ATL,240,36,85,.424,11,33,.333,29,32,.906,11,31,42,17,5,6,11,19,112,
"February 15, 2021",WAS,240,48,92,.522,12,30,.400,23,31,.742,10,37,47,25,14,2,15,24,131,,HOU,240,43,91,.473,8,37,.216,25,34,.735,9,32,41,23,9,5,18,22,119,
"February 15, 2021",IND,265,39,92,.424,9,33,.273,25,31,.806,8,39,47,18,9,14,19,23,112,,CHI,265,44,102,.431,13,33,.394,19,22,.864,13,47,60,25,6,2,18,24,120,
"February 14, 2021",SAC,240,41,82,.500,8,33,.242,20,26,.769,5,28,33,22,8,5,16,19,110,,MEM,240,50,94,.532,9,21,.429,15,19,.789,9,34,43,31,10,2,10,20,124,
"February 14, 2021",LAC,240,42,88,.477,13,30,.433,31,36,.861,12,35,47,31,8,5,10,21,128,,CLE,240,43,93,.462,7,25,.280,18,25,.720,11,29,40,25,4,4,15,27,111,
"February 14, 2021",DEN,240,39,85,.459,19,47,.404,25,34,.735,9,38,47,28,6,4,9,24,122,,LAL,240,40,87,.460,6,28,.214,19,29,.655,8,38,46,27,4,4,10,26,105,
"February 14, 2021",PHO,240,41,92,.446,12,37,.324,15,16,.938,11,48,59,24,6,2,8,17,109,,ORL,240,33,89,.371,6,35,.171,18,22,.818,9,39,48,13,4,6,10,12,90,
"February 14, 2021",OKC,240,45,95,.474,15,36,.417,9,16,.563,12,37,49,32,8,1,13,14,114,,MIL,240,45,97,.464,13,38,.342,6,9,.667,12,35,47,24,9,5,14,16,109,
"February 14, 2021",DAL,240,40,81,.494,14,41,.341,24,25,.960,10,25,35,19,5,6,12,21,118,,POR,240,45,85,.529,18,40,.450,13,19,.684,10,26,36,15,7,2,15,23,121,
"February 14, 2021",TOR,240,38,91,.418,10,33,.303,26,31,.839,10,28,38,24,6,3,11,22,112,,MIN,240,43,82,.524,16,39,.410,14,19,.737,5,35,40,28,6,8,18,26,116,
"February 14, 2021",DET,240,45,84,.536,17,35,.486,16,20,.800,9,28,37,34,3,8,11,23,123,,NOP,240,40,90,.444,9,35,.257,23,28,.821,18,26,44,23,5,2,10,17,112,
"February 14, 2021",CHO,240,45,95,.474,12,34,.353,8,11,.727,12,37,49,23,6,6,16,20,110,,SAS,240,48,96,.500,10,34,.294,16,19,.842,10,33,43,31,13,4,9,13,122,
"February 14, 2021",WAS,240,33,83,.398,7,30,.233,31,36,.861,9,45,54,24,9,3,16,25,104,,BOS,240,32,90,.356,9,35,.257,18,30,.600,14,36,50,14,5,2,17,27,91,
"February 13, 2021",UTA,240,39,85,.459,12,46,.261,22,29,.759,10,38,48,26,11,7,15,21,112,,MIA,240,35,86,.407,12,36,.333,12,17,.706,8,35,43,24,11,3,17,21,94,
"February 13, 2021",GSW,240,44,90,.489,9,34,.265,20,25,.800,5,32,37,25,6,6,13,15,117,,BRK,240,50,93,.538,16,39,.410,18,20,.900,8,37,45,35,9,5,13,15,134,
"February 13, 2021",NYK,240,45,86,.523,12,28,.429,19,23,.826,4,40,44,21,4,4,7,21,121,,HOU,240,33,88,.375,8,43,.186,25,30,.833,12,34,46,17,5,5,9,17,99,
"February 13, 2021",ATL,240,43,90,.478,9,31,.290,18,23,.783,7,31,38,35,5,4,11,24,113,,IND,240,45,89,.506,12,31,.387,23,27,.852,7,36,43,34,8,6,9,21,125,
"February 13, 2021",PHO,240,48,79,.608,10,25,.400,14,17,.824,4,28,32,25,8,3,13,24,120,,PHI,240,38,73,.521,7,17,.412,28,33,.848,8,27,35,19,7,1,13,15,111,
"February 12, 2021",SAC,240,43,83,.518,12,33,.364,14,19,.737,8,34,42,33,8,1,18,18,112,,ORL,240,46,91,.505,15,34,.441,16,20,.800,10,32,42,25,8,2,10,15,123,
"February 12, 2021",POR,240,43,83,.518,13,35,.371,30,33,.909,9,36,45,16,3,4,14,29,129,,CLE,240,38,87,.437,8,23,.348,26,37,.703,10,31,41,20,6,3,11,21,110,
"February 12, 2021",LAL,240,43,85,.506,6,30,.200,23,33,.697,13,34,47,26,9,4,18,16,115,,MEM,240,39,80,.488,12,29,.414,15,19,.789,6,27,33,31,9,2,17,25,105,
"February 12, 2021",UTA,240,43,82,.524,14,38,.368,29,34,.853,7,39,46,22,4,5,17,22,129,,MIL,240,42,92,.457,12,33,.364,19,27,.704,6,27,33,19,8,6,10,28,115,
"February 12, 2021",DEN,240,40,87,.460,10,40,.250,7,10,.700,7,34,41,24,6,6,13,14,97,,OKC,240,36,90,.400,10,32,.313,13,17,.765,12,38,50,26,8,3,12,19,95,
"February 12, 2021",CHI,240,40,85,.471,12,32,.375,14,15,.933,8,33,41,23,4,3,13,16,106,,LAC,240,50,86,.581,13,30,.433,12,15,.800,4,33,37,20,11,7,9,13,125,
"February 12, 2021",BOS,240,36,82,.439,8,27,.296,22,30,.733,7,37,44,15,9,2,10,25,102,,DET,240,34,79,.430,15,38,.395,25,30,.833,6,38,44,25,3,6,12,20,108,
"February 12, 2021",DAL,240,51,88,.580,25,45,.556,16,21,.762,5,32,37,30,4,2,6,22,143,,NOP,240,48,90,.533,17,37,.459,17,23,.739,9,29,38,31,5,3,9,19,130,
"February 12, 2021",ATL,240,39,90,.433,11,32,.344,25,33,.758,10,31,41,22,10,4,12,17,114,,SAS,240,45,85,.529,12,31,.387,23,28,.821,8,38,46,27,6,6,13,25,125,
"February 12, 2021",WAS,240,34,89,.382,9,34,.265,14,20,.700,9,37,46,20,5,5,14,18,91,,NYK,240,44,98,.449,6,24,.250,15,22,.682,15,50,65,22,11,4,11,22,109,
"February 12, 2021",CHO,240,44,90,.489,13,36,.361,19,19,1.000,12,43,55,20,4,3,20,17,120,,MIN,240,45,99,.455,16,41,.390,8,14,.571,9,31,40,28,10,4,8,18,114,
"February 11, 2021",POR,240,40,93,.430,17,38,.447,21,23,.913,15,32,47,15,5,2,8,21,118,,PHI,240,42,86,.488,6,27,.222,24,29,.828,11,35,46,20,6,5,9,20,114,
"February 11, 2021",GSW,240,41,88,.466,20,50,.400,9,12,.750,9,37,46,29,6,6,17,20,111,,ORL,240,38,97,.392,15,33,.455,14,18,.778,13,36,49,19,7,6,15,17,105,
"February 11, 2021",DET,240,38,85,.447,5,28,.179,14,19,.737,15,28,43,21,5,5,11,13,95,,IND,240,44,86,.512,14,31,.452,9,10,.900,10,31,41,26,10,5,7,18,111,
